have,with,about,pathway,title,description,url,format,documentType,publisher,jurisdiction,comments
Question;Concern;Problem;Issue;,a neighbour next door;,Fences;,Self Resolution;,NOTICE TO CONTRIBUTE FOR URGENT FENCING WORK,Problem,http://www.justice.qld.gov.au/__data/assets/pdf_file/0007/180484/form-1-ndr.pdf,application/pdf,form,Queensland,Queensland,Use this notice to ask your neighbour to contribute to costs of urgent dividing fence work.
Question;Concern;Problem;Disagreement;Issue;,a neighbour next door;,Fences;,Self Resolution;,NOTICE TO CONTRIBUTE FOR FENCING WORK,Problem,http://www.justice.qld.gov.au/__data/assets/pdf_file/0006/180483/form-2-ndr.pdf,application/pdf,form,Queensland,Queensland,Approved notice - fencing. Use this notice to ask your neighbour to contribute to costs of dividing fences.
Concern;Question;Problem;Disagreement;Issue;Dispute;,a neighbour;a neighbour next door;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;an adjoining landowners;another unit owner/lot owner;a neighbour in my body corporate;,Pools;,Self Resolution;Formal Resolution;,Guidelines for pool owners and property agents,Guideline for pool owners and property agents on pool owner responsibilities.,http://www.hpw.qld.gov.au/SiteCollectionDocuments/GuidelinesForPoolOwnersAndPropertyAgents.pdf,application/pdf,guidelines,Queensland,Queensland,18/6/15 - LS - Suggest this site moves onto the front page of pool results
Question;Issue;Disagreement;Problem;Conflict;Concern;,a neighbour;a neighbour next door;,Fences;,Self Resolution;,Your responsibility as a fence owner,Your rights and responsibilities over a dividing fence between yours and your neighbour's property.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/your-responsibility-as-a-fence-owner/,text/html,guidelines,Queensland,Queensland,Your responsibility as a fence owner
Question;Concern;Problem;Issue;,a neighbour;a neighbour next door;,Fences;,Self Resolution;Assisted Resolution;,Avoiding disputes about fences,Use these tips to avoid a dispute with your neighbours over the fence that divides your properties.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/avoiding-disputes-about-fences/,text/html,guidelines,Queensland,Queensland,Avoiding disputes about fences
Concern;Problem;Disagreement;Complaint;Conflict;Dispute;,a neighbour;a neighbour next door;,Fences;,Self Resolution;Assisted Resolution;Formal Resolution;,Step-by-step guide to resolving tree and fence disputes,A step-by-step guide to resolving tree or fence disputes with your neighbour.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/resolving-tree-and-fence-disputes/step-by-step-guide-to-resolving-tree-and-fence-disputes/,text/html,guidelines,Queensland,Queensland,Step by step guide to resolving tree and fence disputes
Concern;Question;Issue;,a neighbour;a neighbour next door;,Fences;,Self Resolution;,Ways to approach your neighbour,Tips on how to approach your neighbour to resolve an issue.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/ways-to-approach-your-neighbour/,text/html,fact sheet,Queensland,Queensland,Ways to approach your neighbour
Problem;Disagreement;Conflict;Issue;Dispute;Complaint;,a neighbour;a neighbour next door;,Fences;,Self Resolution;Assisted Resolution;,Neighbourhood mediation,"Free dispute resolution for neighbours, including how this type of mediation works and how to arrange mediation for neighbours",http://www.qld.gov.au/law/legal-mediation-and-justice-of-the-peace/setting-disputes-out-of-court/neighbourhood-mediation,text/html,guidelines,Queensland,Queensland,Neighbourhood mediation
Complaint;Question;,a neighbour;a neighbour next door;,Fences;,Assisted Resolution;Formal Resolution;,NeighDisputesDFTA11,The law about trees and fences in Queensland.,https://www.legislation.qld.gov.au/LEGISLTN/CURRENT/N/NeighDisputesDFTA11.pdf,application/pdf,legislation,Queensland,Queensland,Direct link to NDR Act (Trees and Fences) - not sure if relevant - it is referenced in other pages
Question;Dispute;Issue;,a neighbour;a neighbour next door;,Fences;,Assisted Resolution;Formal Resolution;,Examples of dividing fence disputes,Learn where to find details of past dividing fence disputes that may help you resolve your own issue.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/resolving-tree-and-fence-disputes/examples-of-dividing-fence-disputes/,text/html,fact sheet,Queensland,Queensland,Examples of dividing fence disputes
Complaint;Dispute;,a neighbour;a neighbour next door;,Fences;,Formal Resolution;Assisted Resolution;,Resolving dividing fence disputes with QCAT,"Find out when, how and where to make an application to QCAT to resolve your dividing fence dispute.",http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/resolving-tree-and-fence-disputes/resolving-dividing-fence-disputes-with-qcat/,text/html,procedure,Queensland,Queensland,Resolving dividing fence disputes with QCAT
Dispute;Complaint;Conflict;,a neighbour;a neighbour next door;,Fences;,Formal Resolution;Assisted Resolution;,Dividing fence disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/dividing-fence-disputes,text/html,procedure,Queensland Department of Justice and Attorney-General,Queensland,QCAT landing page for fences - need to shift to YRCL if any info not available through YRCL existing link
Complaint;Conflict;Dispute;,a neighbour;a neighbour next door;,Fences;,Formal Resolution;Assisted Resolution;,Form 53 Application for minor civil dispute dividing fences,Use this form to apply to QCAT about recovering costs for a dividing fence.,http://www.qcat.qld.gov.au/__data/assets/pdf_file/0004/129577/Form-53-Application-for-minor-civil-dispute-dividing-fences.pdf,application/pdf,form,Queensland,Queensland,QCAT form 53 - won't be in YRCL until late 2015
Complaint;Dispute;Conflict;,a neighbour;a neighbour next door;,Fences;,Formal Resolution;Assisted Resolution;,checklist Form 53 Application for minor civil dispute dividing fences,Use this checklist when you apply to QCAT about recovering dividing fence costs.,http://www.qcat.qld.gov.au/__data/assets/pdf_file/0005/129578/checklist-Form-53-Application-for-minor-civil-dispute-dividing-fences.pdf,application/pdf,form,Queensland,Queensland,Checklist to support QCAT form 53 - unlikely to be needed once form 53 migrates to YRCL
Problem;Disagreement;Complaint;Conflict;Dispute;Issue;,a neighbour;a neighbour next door;,Fences;,Formal Resolution;,Debt disputes - QCAT Queensland Civil and Administrative Tribunal,,http://www.qcat.qld.gov.au/matter-types/debt-disputes,text/html,procedure,Queensland Civil and Administrative Tribunal,Queensland,QCAT info on general debt disputes - which covers some dividing fence disputes
Concern;Question;Problem;,a neighbour;a neighbour next door;,Fences;,Self Resolution;Formal Resolution;,Department of Housing and Public Works | Dividing fences,,http://www.hpw.qld.gov.au/construction/BuildingPlumbing/PoolSafety/PoolFencesSafetyBarriers/Pages/DividingFences.aspx,text/html,procedure,Queensland,Queensland,HPW info on dividing fences which are pool fences - links to forms and fact sheets
Question;,a neighbour;a neighbour next door;,Fences;,Self Resolution;Assisted Resolution;Formal Resolution;,Fences - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/fences.html,text/html,procedure,Queensland,Queensland,Non-government - page by Queensland Association of Independent Legal Services (QAILS)
Question;Problem;Issue;,a neighbour;a neighbour next door;,Fences;,Self Resolution;,Talk to Your Neighbour - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/talk-to-your-neighbour.html,text/html,fact sheet,Queensland,Queensland,QAILS page - Generic info on avoiding and resolving disputes - relevant across range of neighbour issues
Problem;Question;Disagreement;Issue;,a neighbour;a neighbour next door;,Fences;,Self Resolution;,What do I do if my neighbour approaches me about a dividing fence issue? - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/what-do-i-do-if-my-neighbour-approaches-me-about-a-dividing-fence-issue.html,text/html,fact sheet,Queensland,Queensland,QAILS page - how to respond to request for dividing fence
Question;Issue;Disagreement;,a neighbour;a neighbour next door;,Fences;,Self Resolution;,Writing to Your Neighbour - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/writing-to-your-neighbour.html,text/html,fact sheet,Queensland,Queensland,QAILS page - provides a template for writing to your neighbour about a fence (and other issues)
Disagreement;Concern;Issue;Conflict;,a neighbour;a neighbour next door;,Fences;,Assisted Resolution;,Mediation - Queensland Neighbourhood Disputes,,http://www.qldneighbourhoods.com/mediation.html,text/html,fact sheet,Queensland,Queensland,QAILS page - general information on mediation - provides DRB and YRCL links
Question;,a neighbour;a neighbour next door;,Retaining walls;,Formal Resolution;,Your responsibility as a fence owner,Your rights and responsibilities over a dividing fence between yours and your neighbour's property.,https://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/your-responsibility-as-a-fence-owner/,text/html,guidelines,Queensland,Queensland,Retaining walls subheading in page - would require anchor
Question;,a neighbour;a neighbour next door;,Retaining walls;,Self Resolution;,Avoiding building disputes,To avoid building disputes it is important to work out all details before the building work begins.,http://www.qld.gov.au/law/housing-and-neighbours/disputes-about-fences-trees-and-buildings/avoiding-fence-tree-and-building-disputes/avoiding-building-disputes/,text/html,fact sheet,Queensland,Queensland,Retaining walls subheading in page - would require anchor
Question;Dispute;Conflict;,a neighbour;a neighbour next door;,Retaining walls;,Formal Resolution;,Fences and retaining walls,,http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/Neighbourhood/Pages/Fencesandretainingwalls.aspx#Top,text/html,guidelines,Queensland,Queensland,Legal Aid - no legal advice offered - but does contain reference to complex laws and getting independent legal advice
;,a neighbour;a neighbour next door;,Retaining walls;,Formal Resolution;,"A retaining wall or a wall that is part of a house, garage or other building - Queensland Neighbourhood Disputes",,http://www.qldneighbourhoods.com/a-retaining-wall-or-a-wall-that-is-part-of-a-house-garage-or-other-building.html,text/html,guidelines,Queensland,Queensland,Non-government - page by Queensland Association of Independent Legal Services (QAILS)
Question;Dispute;Conflict;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;,Parking;,Formal Resolution;,Illegal and dangerous parking | Brisbane City Council,"Parking rules and regulations are used throughout Brisbane to maintain the safety of all road users and pedestrians and also to ensure that street parking is available for all to use. An illegally or dangerously parked vehicle, is any vehicle parked outside of Brisbane City Council's parking rules and regulations or any vehicle that maybe creating a public safety problem.",http://www.brisbane.qld.gov.au/traffic-transport/parking-permits/parking-rules/illegal-dangerous-parking,text/html,guidelines,Brisbane City Council,Brisbane City Council,Gives neighbour an avenue to complain/report parking issues. 18/6/15 - LS - if we're keeping council information this looks okay
Complaint;Dispute;,a neighbour;someone in my neighbourhood;someone in my neighbourhood;a neighbour next door;a neighbour in my building;,Rubbish bins;Noise;Smells;Drainage;,Self Resolution;Assisted Resolution;,"Complaints - noise, water, smells and fire",,http://www.legalaid.qld.gov.au/legalinformation/livinginthecommunity/Neighbourhood/Pages/Complaints-noisewatersmellsandfire.aspx,text/html,guidelines,Queensland,Queensland,"General nuisance, including smells created from rubbish"
Complaint;Dispute;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;,Rubbish bins;Smells;Objects;Noise;,Self Resolution;Assisted Resolution;Formal Resolution;,Neighbourhood complaints | Brisbane City Council,"This section has information about common neighbourhood complaints, including actions you can take as a good neighbour to avoid disturbing surrounding residents.",http://www.brisbane.qld.gov.au/laws-permits/local-laws/information-about-local-laws/neighbourhood-complaints,text/html,guidelines,Brisbane City Council,Brisbane City Council,Could cover any dispute with neighbours. Includes a link to DRB.
Complaint;Dispute;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;,Rubbish bins;,Formal Resolution;,Bin collections | Brisbane City Council,Your home has wheelie bins for separating general rubbish from green waste and recyclables. Check your bin collection day with the bin collection calendar. To make sure your bin is collected:,http://www.brisbane.qld.gov.au/environment-waste/rubbish-tips-bins/rubbish-collections/bin-collections,text/html,procedure,Brisbane City Council,Brisbane City Council,
Question;Complaint;,a neighbour;someone in my neighbourhood;a neighbour next door;a neighbour in my street;a neighbour in my building;,Access;Parking;,Formal Resolution;,Residential parking | Brisbane City Council,"Brisbane residential areas have parking rules in place to ensure parked or stopped vehicles do not affect local access or traffic flow. Parking illegally can be frustrating for neighbours and the community. Residents are often prevented from accessing their home or local area. If vehicles are illegally parked, Council can help. There are two courses of action you can take to deal with parking problems in your area.",http://www.brisbane.qld.gov.au/traffic-transport/parking-permits/parking-rules/residential-parking,text/html,guidelines,Brisbane City Council,Brisbane City Council,
